
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
E4:D3:32:A2:A2:F0, 2019-07-08 13:58:00, 2019-07-08 14:01:07, 11,  54, WPA2 WPA, CCMP,PSK, -73,       13,        0,   0.  0.  0.  0,   2, tt, 
74:A7:8E:80:4B:3E, 2019-07-08 13:58:00, 2019-07-08 14:01:07, 11,  54, WPA2 WPA, CCMP,PSK, -73,       22,        0,   0.  0.  0.  0,   7, CU_9bYS, 
CC:08:FB:6B:E4:EC, 2019-07-08 13:58:28, 2019-07-08 14:01:00, 11,  54, WPA2, CCMP,PSK, -74,        9,        0,   0.  0.  0.  0,  12, TP-LINK_E4EC, 
50:BD:5F:14:A2:F5, 2019-07-08 13:58:11, 2019-07-08 14:00:57,  3,  54, WPA2 WPA, CCMP,PSK, -71,        2,        0,   0.  0.  0.  0,   4, gp22, 
D6:EE:07:67:B7:C5, 2019-07-08 13:58:11, 2019-07-08 13:58:11,  8,  54, WPA2, CCMP,PSK, -72,        1,        0,   0.  0.  0.  0,   0, , 
14:3D:F2:70:2A:64, 2019-07-08 13:58:15, 2019-07-08 13:58:15, 12,  54, WPA2, CCMP TKIP,PSK, -74,        1,        0,   0.  0.  0.  0,   9, litianhao, 
88:3F:D3:AA:B2:94, 2019-07-08 13:58:02, 2019-07-08 13:58:02,  7,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
70:AF:6A:21:A9:4B, 2019-07-08 13:58:00, 2019-07-08 13:58:00, 11,  -1, WPA, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
14:69:A2:2C:C5:C9, 2019-07-08 13:58:04, 2019-07-08 13:58:04,  3,  54, WPA2, CCMP,PSK, -68,        1,        0,   0.  0.  0.  0,   7, CU_MjSA, 
F0:AB:54:E9:18:5E, 2019-07-08 13:58:01, 2019-07-08 13:59:52,  6,  54, WPA2, TKIP,PSK, -69,        1,        0,   0.  0.  0.  0,  15, SGM OnStar 9736, 
88:66:39:92:40:28, 2019-07-08 13:57:55, 2019-07-08 14:01:15,  1,  54, WPA2, CCMP,PSK, -73,        7,        0,   0.  0.  0.  0,   7, CU_CHNw, 
D0:76:E7:06:D3:EA, 2019-07-08 13:57:55, 2019-07-08 13:57:55,  1,  54, WPA2 WPA, CCMP,PSK, -72,        1,        0,   0.  0.  0.  0,  12, TP-LINK_1203, 
14:75:90:C0:A3:26, 2019-07-08 13:58:08, 2019-07-08 13:58:08,  6,  54, WPA2 WPA, CCMP,PSK, -70,        1,        0,   0.  0.  0.  0,   7, BCXX-NM, 
EC:88:8F:30:1A:66, 2019-07-08 13:58:08, 2019-07-08 14:00:54,  6,  54, WPA2 WPA, CCMP,PSK, -72,       10,        0,   0.  0.  0.  0,  14, TP-LINK_301A66, 
FC:75:16:99:39:8A, 2019-07-08 13:58:08, 2019-07-08 14:00:34,  1,  54, WPA2, CCMP TKIP,PSK, -73,        5,        0,   0.  0.  0.  0,   5, dlink, 
38:91:D5:51:8C:20, 2019-07-08 13:58:01, 2019-07-08 13:59:25,  6,  54, WEP, WEP,   , -72,        3,        0,   0.  0.  0.  0,   9, JINGLISHI, 
20:76:93:21:CD:E8, 2019-07-08 13:58:09, 2019-07-08 13:59:54, 13,  54, WPA2, CCMP,PSK, -75,       11,        0,   0.  0.  0.  0,   9, David-DWQ, 
EC:6C:9F:9F:ED:92, 2019-07-08 13:58:14, 2019-07-08 14:00:53, 11,  54, WPA2, CCMP,PSK, -76,        7,        1,   0.  0.  0.  0,   8, PKUFI-CY, 
04:40:A9:2E:F1:1F, 2019-07-08 13:58:30, 2019-07-08 13:58:30,  1,  54, WPA2, CCMP TKIP,PSK, -76,        1,        0,   0.  0.  0.  0,  12, \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00, 
74:C3:30:76:4C:D2, 2019-07-08 13:58:09, 2019-07-08 14:01:02, 13,  54, WPA2, CCMP,PSK, -76,       27,        1,   0.  0.  0.  0,   4, e101, 
C0:A5:DD:33:58:D1, 2019-07-08 13:58:36, 2019-07-08 14:00:20, 12,  54, WPA2, CCMP,PSK, -74,        1,        1,   0.  0.  0.  0,   8, qipaishi, 
E4:F3:F5:49:64:FE, 2019-07-08 13:58:42, 2019-07-08 13:58:42, 11,  54, WPA2 WPA, CCMP,PSK, -74,        1,        0,   0.  0.  0.  0,   9, \xE4\xB8.\xE4\xBA.\xE5.\xB4, 
C0:61:18:B0:F7:18, 2019-07-08 13:58:00, 2019-07-08 13:59:52, 11,  54, WPA2 WPA, CCMP,PSK, -70,       20,        0,   0.  0.  0.  0,  12, TP-LINK_F718, 
E4:D3:32:E7:E0:D7, 2019-07-08 13:57:55, 2019-07-08 14:00:00,  1,  54, WPA2 WPA, CCMP,PSK, -72,       10,        0,   0.  0.  0.  0,   3, bgs, 
